Number of Run, Trial Count,Initial Average Hum,Average hum after algorithm, Initial Standard hum deviation,Standard deviation hum after algorithm,Initial Average tem,Average tem after algorithm, Initial Standard tem deviation,Standard deviation tem after algorithm,humAveIss ,humStdIss,temAveIss,temStdIss,,
70,80,50.82281586,48.32281586,3.346101229,1.673873669,70.87572507,72.79239174,2.440881131,0.424355088,1,0,0,0,,
71,80,51.00377218,48.17043884,2.554686263,1.453819936,70.96035034,72.96035034,2.901058766,0.416558471,1,0,0,0,,
72,8,48.29680105,47.79680105,2.42342182,0.733752989,68.84459673,72.01126339,1.932161228,1.358074654,0,0,0,0,,
73,80,49.67330805,48.42330805,2.468504077,1.319930824,68.38058277,72.29724944,2.112393721,2.142972607,1,0,0,1,,
74,20,49.70667444,47.79000778,2.477194105,0.919731927,69.95030715,72.03364049,2.1392779,1.414586523,0,0,0,0,,
75,80,51.19626825,48.36293492,2.448700261,1.160753509,69.68549958,72.26883291,2.738499812,2.170005388,1,0,0,1,,
76,80,49.60574992,48.02241658,2.704796455,0.613363628,69.01193625,72.42860292,2.655154976,1.391711857,1,0,0,0,,
77,80,50.41042865,47.82709532,3.108340414,0.373073844,69.91296696,72.16296696,2.338941347,2.173232411,0,0,0,1,,
78,80,50.29917375,48.38250708,3.158130713,1.58488979,69.2455746,72.32890793,2.961107134,2.011313045,1,0,0,1,,
79,80,49.87101812,47.87101812,3.018730081,0.473453257,69.85867094,72.44200428,3.278559335,1.718140189,0,0,0,1,,
80,80,49.89271682,48.05938349,2.820697124,1.38135273,70.40021923,72.5668859,3.10328191,2.012825252,1,0,0,1,,
81,80,50.30632844,48.30632844,2.444332047,1.527243469,68.72462436,72.39129103,2.514525544,1.550329514,1,0,0,1,,
82,10,50.38185333,47.96518666,2.969265306,1.502632957,70.99528185,72.99528185,2.528658387,0.420087401,0,0,0,0,,
83,9,49.93649173,47.93649173,2.564315079,0.510632305,69.0428482,72.62618153,2.783659342,1.490206835,0,0,0,0,,
84,10,49.58332739,47.99999405,2.622067159,1.191740478,71.0261405,72.85947384,3.150078842,0.671330819,0,0,0,0,,
85,5,48.59936526,47.93269859,2.716790462,1.516811439,69.76225377,72.0955871,2.921915349,1.237934204,0,0,0,0,,
86,80,50.36136497,47.9446983,2.551024752,0.754873454,71.12370032,72.54036699,2.958871903,1.759901906,0,0,0,1,,
87,80,49.55095767,48.21762433,2.604484769,1.774943756,70.05442499,72.55442499,3.222653707,1.459036149,1,1,0,0,,
88,80,50.30445805,48.38779138,2.968046161,1.575307941,69.39642614,72.22975947,3.179016454,1.851193791,1,0,0,1,,
89,11,50.26527792,47.93194459,2.200301022,0.388961122,70.79762115,72.04762115,2.640093116,1.422179646,0,0,0,0,,
90,80,50.39529061,48.39529061,3.376652012,1.845205888,70.26950958,72.51950958,2.614855504,1.865941744,1,1,0,1,,
91,22,49.56476498,47.73143165,2.822046262,0.824608564,69.69626673,72.44626673,3.147325954,1.333740429,0,0,0,0,,
92,80,49.56104661,48.14437994,2.389941634,0.503967293,69.77925322,72.44591989,3.369769359,1.496775234,1,0,0,0,,
93,8,48.79055293,47.7072196,2.728657844,0.962606712,69.48467509,72.06800842,2.763699707,0.666909641,0,0,0,0,,
94,80,51.33632765,48.00299431,2.328427937,0.867659401,69.78948639,72.45615306,2.602214178,1.726366445,1,0,0,1,,
95,80,50.86809989,48.20143322,2.339355347,1.653131026,70.61119405,72.52786072,3.1553584,1.57070803,1,0,0,1,,
96,7,49.85434709,47.93768042,2.688873736,0.903059653,70.36933641,72.20266975,2.380157721,1.076505059,0,0,0,0,,
97,8,50.40621364,47.98954697,3.099804308,0.796446098,71.12499193,72.62499193,2.669377362,0.680381764,0,0,0,0,,
98,7,49.34413912,47.92747245,2.860368648,0.690274602,70.06921682,72.15255015,3.063863672,1.322369414,0,0,0,0,,
99,80,49.22209515,48.22209515,1.575177502,0.782915057,70.85712618,72.35712618,2.765658679,1.620770882,1,0,0,1,,
100,22,49.52196971,47.93863637,2.984936028,0.5238159,69.55925094,72.4759176,3.720761567,1.467953292,0,0,0,0,1,52
1,52,,,,,,,,,,,,,,
1,80,49.47740265,48.31073599,2.921678309,1.196927827,71.0558526,73.0558526,3.296911527,0.434683239,1,0,1,0,,
2,9,50.98473583,47.98473583,2.3092149,0.695374432,70.27294407,72.3562774,2.778630578,1.058877849,0,0,0,0,,
3,7,48.52174452,47.68841119,3.423536672,1.090696611,69.46286185,72.04619519,2.122547223,1.167552252,0,0,0,0,,
4,80,51.08423499,48.08423499,2.471019985,0.779459745,69.42735661,72.26068994,2.320457746,1.875983924,1,0,0,1,,
